
        OBJNO                   RA                  DEC           MAGR         SLITPA        TOPDIST        BOTDIST
            J                    D                    D              E              E              E              E
                                                                                                                   
      3102513   3.516778564453E+02  -6.191330775619E-02   2.360120E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3102546   3.516760864258E+02  -6.143737956882E-02   2.293582E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3102693   3.516865234375E+02  -7.016043365002E-02   2.269605E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3108122   3.516920776367E+02  -2.309076488018E-02   2.379839E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3107537   3.517107849121E+02  -3.823333606124E-02   2.285442E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3107653   3.517060546875E+02  -4.444511979818E-02   2.351587E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3102362   3.517142639160E+02  -8.211451768875E-02   2.179149E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3108207   3.516914367676E+02  -1.242794934660E-02   2.365637E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3108218   3.516899719238E+02  -2.177064865828E-02   2.261138E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3102680   3.516916809082E+02  -9.095899015665E-02   2.368048E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3108231   3.516912231445E+02  -3.037744574249E-02   2.294158E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3102201   3.517183227539E+02  -6.242907047272E-02   2.468048E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3107724   3.517002563477E+02  -1.046531274915E-02   2.273466E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3102275   3.517023620605E+02  -6.080776453018E-02   2.350979E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3114127   3.517142333984E+02   5.066948384047E-02   2.322014E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3114191   3.517152404785E+02   3.658443689346E-02   2.412992E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3114206   3.517037963867E+02   3.035642392933E-02   2.379419E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3107629   3.517069396973E+02  -1.806572638452E-02   2.437727E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3107582   3.517073669434E+02  -3.517738310620E-03   2.403206E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3114297   3.517049865723E+02   1.009892113507E-02   2.282675E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3114302   3.517134094238E+02   4.818086046726E-03   2.256293E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3114311   3.517052307129E+02   5.132143199444E-02   2.421206E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3114330   3.517214965820E+02   3.421632573009E-02   2.353118E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3114358   3.517032470703E+02   1.085473969579E-02   2.292072E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3128140   3.516846923828E+02   1.171816885471E-01   2.327271E+01   0.000000E+00   0.000000E+00   0.000000E+00
