
        OBJNO             RA            DEC           MAGR         SLITPA        TOPDIST        BOTDIST
            J              E              E              E              E              E              E
                                                                                                       
        32923   2.143268E+02   5.222241E+01   2.276648E+01   0.000000E+00   2.905374E+00   5.734882E+00
        32950   2.143601E+02   5.224468E+01   2.269545E+01   0.000000E+00   2.018889E+00   3.800214E+00
        32955   2.143607E+02   5.224070E+01   2.257433E+01   0.000000E+00   2.363464E+00   4.730158E+00
        32961   2.143285E+02   5.223778E+01   2.269147E+01   0.000000E+00   5.302984E+00   3.466596E+00
        33019   2.143378E+02   5.219523E+01   2.199006E+01  -4.894490E+00   4.229758E+00   3.817803E+00
        39567   2.143973E+02   5.226025E+01   2.359536E+01   0.000000E+00   3.708293E+00   2.888083E+00
        39880   2.143687E+02   5.225859E+01   2.381090E+01   0.000000E+00   2.585732E+00   4.292829E+00
        40144   2.143272E+02   5.227128E+01   2.305179E+01   0.000000E+00   1.834866E+00   3.428047E+00
        40170   2.143497E+02   5.225461E+01   2.253910E+01   0.000000E+00   1.645966E+00   7.386488E+00
        40272   2.143654E+02   5.227879E+01   2.344778E+01   0.000000E+00   1.432281E+00   3.119234E+00
        40280   2.143660E+02   5.227571E+01   2.397118E+01   0.000000E+00   1.755001E+00   1.938453E+00
        40285   2.143289E+02   5.227248E+01   2.212495E+01   0.000000E+00   3.180600E+00   1.977268E+00
        40297   2.143203E+02   5.226239E+01   2.293295E+01   0.000000E+00   2.189118E+00   3.495869E+00
        40304   2.143444E+02   5.225581E+01   2.270016E+01  -2.727098E+01   5.190997E+00   2.179901E+00
        40366   2.143633E+02   5.228415E+01   2.327263E+01   0.000000E+00   5.088501E+00   1.735633E+00
        40370   2.143276E+02   5.228293E+01   2.419037E+01   0.000000E+00   2.131432E+00   4.299179E+00
        40376   2.143366E+02   5.227972E+01   2.137804E+01  -2.626746E+01   6.750198E+00   1.432281E+00
        40379   2.143443E+02   5.227684E+01   2.248291E+01   0.000000E+00   3.384550E+00   1.809941E+00
        40381   2.143365E+02   5.227441E+01   2.329499E+01  -3.000000E+01   2.258202E+00   3.268252E+00
        40386   2.143490E+02   5.226912E+01   2.347969E+01  -3.000000E+01   3.844780E+00   6.585279E+00
        40393   2.143570E+02   5.226553E+01   2.309843E+01  -3.000000E+01   5.864856E+00   2.585540E+00
        40395   2.143235E+02   5.226382E+01   2.175091E+01   0.000000E+00   3.039338E+00   2.488189E+00
        32943   2.143609E+02   5.224844E+01   2.027784E+01   0.000000E+00   1.500000E+00   1.500000E+00
